item,sentence,sentence_type,group,adverb,word,seen_in_training,target_response
28,The [obj] hasn't typically been blorked by the [subj].,neg perfect passive,buildings_vehicles,typically,barn,True,[subj]
29,It is the [obj] that seems to have usually been blorked by the [subj].,cleft subject raising perfect passive,buildings_vehicles,usually,barn,True,[subj]
30,The [subj] has usually blorked the [obj].,perfect transitive,buildings_vehicles,usually,house,True,[subj]
31,The [subj] seems to have always blorked the [obj].,raising perfect transitive,buildings_vehicles,always,house,True,[subj]
32,It is the [subj] that has often blorked the [obj].,cleft subject perfect transitive,buildings_vehicles,often,house,True,[subj]
33,The [subj] hasn't typically blorked the [obj].,neg perfect transitive,buildings_vehicles,typically,house,True,[subj]
34,It is the [subj] that seems to have usually blorked the [obj].,cleft subject raising perfect transitive,buildings_vehicles,usually,house,True,[subj]
35,The [obj] has always been blorked by the [subj].,perfect passive,buildings_vehicles,always,house,True,[subj]
36,The [obj] seems to have often been blorked by the [subj].,raising perfect passive,buildings_vehicles,often,house,True,[subj]
37,It is the [obj] that has typically been blorked by the [subj].,cleft subject perfect passive,buildings_vehicles,typically,house,True,[subj]
38,The [obj] hasn't usually been blorked by the [subj].,neg perfect passive,buildings_vehicles,usually,house,True,[subj]
39,It is the [obj] that seems to have always been blorked by the [subj].,cleft subject raising perfect passive,buildings_vehicles,always,house,True,[subj]
40,The [subj] has typically blorked the [obj].,perfect transitive,buildings_vehicles,typically,bicycle,True,[obj]
41,The [subj] seems to have usually blorked the [obj].,raising perfect transitive,buildings_vehicles,usually,bicycle,True,[obj]
42,It is the [subj] that has always blorked the [obj].,cleft subject perfect transitive,buildings_vehicles,always,bicycle,True,[obj]
43,The [subj] hasn't often blorked the [obj].,neg perfect transitive,buildings_vehicles,often,bicycle,True,[obj]
44,It is the [subj] that seems to have typically blorked the [obj].,cleft subject raising perfect transitive,buildings_vehicles,typically,bicycle,True,[obj]
45,The [obj] has usually been blorked by the [subj].,perfect passive,buildings_vehicles,usually,bicycle,True,[obj]
46,The [obj] seems to have always been blorked by the [subj].,raising perfect passive,buildings_vehicles,always,bicycle,True,[obj]
47,It is the [obj] that has often been blorked by the [subj].,cleft subject perfect passive,buildings_vehicles,often,bicycle,True,[obj]
48,The [obj] hasn't typically been blorked by the [subj].,neg perfect passive,buildings_vehicles,typically,bicycle,True,[obj]
49,It is the [obj] that seems to have usually been blorked by the [subj].,cleft subject raising perfect passive,buildings_vehicles,usually,bicycle,True,[obj]
50,The [subj] has usually blorked the [obj].,perfect transitive,buildings_vehicles,usually,bus,True,[obj]
51,The [subj] seems to have always blorked the [obj].,raising perfect transitive,buildings_vehicles,always,bus,True,[obj]
52,It is the [subj] that has often blorked the [obj].,cleft subject perfect transitive,buildings_vehicles,often,bus,True,[obj]
53,The [subj] hasn't typically blorked the [obj].,neg perfect transitive,buildings_vehicles,typically,bus,True,[obj]
54,It is the [subj] that seems to have usually blorked the [obj].,cleft subject raising perfect transitive,buildings_vehicles,usually,bus,True,[obj]
55,The [obj] has always been blorked by the [subj].,perfect passive,buildings_vehicles,always,bus,True,[obj]
56,The [obj] seems to have often been blorked by the [subj].,raising perfect passive,buildings_vehicles,often,bus,True,[obj]
57,It is the [obj] that has typically been blorked by the [subj].,cleft subject perfect passive,buildings_vehicles,typically,bus,True,[obj]
58,The [obj] hasn't usually been blorked by the [subj].,neg perfect passive,buildings_vehicles,usually,bus,True,[obj]
59,It is the [obj] that seems to have always been blorked by the [subj].,cleft subject raising perfect passive,buildings_vehicles,always,bus,True,[obj]
60,The [subj] has always blorked the [obj].,perfect transitive,buildings_vehicles,always,tractor,True,[obj]
61,The [subj] seems to have often blorked the [obj].,raising perfect transitive,buildings_vehicles,often,tractor,True,[obj]
62,It is the [subj] that has typically blorked the [obj].,cleft subject perfect transitive,buildings_vehicles,typically,tractor,True,[obj]
63,The [subj] hasn't usually blorked the [obj].,neg perfect transitive,buildings_vehicles,usually,tractor,True,[obj]
64,It is the [subj] that seems to have always blorked the [obj].,cleft subject raising perfect transitive,buildings_vehicles,always,tractor,True,[obj]
65,The [obj] has often been blorked by the [subj].,perfect passive,buildings_vehicles,often,tractor,True,[obj]
66,The [obj] seems to have typically been blorked by the [subj].,raising perfect passive,buildings_vehicles,typically,tractor,True,[obj]
67,It is the [obj] that has usually been blorked by the [subj].,cleft subject perfect passive,buildings_vehicles,usually,tractor,True,[obj]
68,The [obj] hasn't always been blorked by the [subj].,neg perfect passive,buildings_vehicles,always,tractor,True,[obj]
69,It is the [obj] that seems to have often been blorked by the [subj].,cleft subject raising perfect passive,buildings_vehicles,often,tractor,True,[obj]
70,The [subj] has often blorked the [obj].,perfect transitive,buildings_vehicles,often,car,True,[obj]
71,The [subj] seems to have typically blorked the [obj].,raising perfect transitive,buildings_vehicles,typically,car,True,[obj]
72,It is the [subj] that has usually blorked the [obj].,cleft subject perfect transitive,buildings_vehicles,usually,car,True,[obj]
73,The [subj] hasn't always blorked the [obj].,neg perfect transitive,buildings_vehicles,always,car,True,[obj]
74,It is the [subj] that seems to have often blorked the [obj].,cleft subject raising perfect transitive,buildings_vehicles,often,car,True,[obj]
75,The [obj] has typically been blorked by the [subj].,perfect passive,buildings_vehicles,typically,car,True,[obj]
76,The [obj] seems to have usually been blorked by the [subj].,raising perfect passive,buildings_vehicles,usually,car,True,[obj]
77,It is the [obj] that has always been blorked by the [subj].,cleft subject perfect passive,buildings_vehicles,always,car,True,[obj]
78,The [obj] hasn't often been blorked by the [subj].,neg perfect passive,buildings_vehicles,often,car,True,[obj]
79,It is the [obj] that seems to have typically been blorked by the [subj].,cleft subject raising perfect passive,buildings_vehicles,typically,car,True,[obj]
